State,LandKM2,AnnualVisitors
AL,0,0
AK,124079,1632459
AZ,6128,7846800
AR,22.5,1561616
CA,18526,20835976
CO ,1803,4573158
CT,0,0
DC,0,0
DE,0,0
FL,7068.2,1519799
GA,0,0
HI,1612.9,3129092
ID,2994,1372174
IL,0,0
IN,61,2127336
IA,0,0
KS,0,0
KY,218.6,587853
LA,0,0
ME,198.6,3509271
MD,0,0
MA,0,0
MI ,2314,28196
MN,883,237250
MS,0,0
MO ,0.8,1398188
MT,7094,4677686
NE ,0,0
NV,7137,815441
NH,0,0
NJ,0,0
NM,189.3,520026
NY,0,0
NC,1507,5669446
ND,285,708003
OH ,131.8,2226879
OK,0,0
OR,741.5,711749
PA,0,0
RI,0,0
SC,107.4,159595
SD,1714,5729241
TN,1507,5669446
TX,3591.5,665533
UT,2790.5,6003148
VT,0,0
VA,806.2,1458874
WA,6371,4847863
WV,0,0
WI,0,0
WY,4248,4689174
